Zone Name,Comment,Power,RX Freq,TX Freq,Color Code,ARRG 2,Alberta 2,Audio Test 2,BC 1,BC 2,BayNet 2,Bridge 2,Cactus 2,California 1,Canada 2,Cascades 1;Cascad 1,Comm 1,Comm 2,Fusion 2,Hawaii 1-2,I-5-1,I-84-2,Idaho 1,Idaho ARES 2,Inland 2,Local 1,Local 2,Local Net 1,MPRG 1-2,Manitoba 2,Mountain 2,Michigan 1,Montana 2,Net 2,New Brunswick 2;New Bruns 2,North America 2;North Am 2,Ontario 2,Oregon 1,PNW 1,PNW 2,PNW Regional 2;PNW Reg 2,Parrot 1,PS1-DNU,PS2-DNU,Quebec 2,SNARS 1-2,SoCal 2,TAC 1-2,TAC 2-2,TAC 3-2,TAC 310-2,TAC 311-2,TAC 312-2,TAC 313-2,TAC 314-2,TAC 315-2,TAC 316-2,TAC 317-2,TAC 318-2,TAC 319-2,TAC 8-2,TG 9,TAC Eng 123-2;TAC Eng 2,USA 2,Utah 2,Wash 1,Wash 2,Worldwide 2,Worldwide Eng 2;WW Eng 2,WW Eng 113-2
Portland/PPMC;POP,,High,444.8375,449.8375,7,2,-,2,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,2,-,-,-,-,-,-,2,-,-,-,1,1,2,2,1,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-
Portland/Sylvan;POS,,High,440.5125,445.5125,1,2,-,2,-,-,2,2,2,1,-,1,1,-,-,-,1,2,1,-,2,1,2,-,2,-,2,-,2,2,-,2,-,1,1,2,2,1,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2,-
Prineville/Town;PRT,,High,441.25,446.25,1,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,2,-,2,-,1,1,2,2,1,-,-,-,-,-,2,2,-,2,2,2,2,2,-,-,-,-,2,-,-,-,-,-,1,2,2,-,-
Saint Maries ID;SAI,,High,443.75,448.75,1,-,-,2,1,-,-,2,-,-,-,1,-,-,-,-,-,-,1,-,-,1,2,-,2,-,-,-,2,2,-,-,-,1,1,2,2,1,-,-,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,2,2,1,2,-,-,-
Salem/Orchard;SAL,,High,442.8875,447.8875,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,-,-,-,-,-,2,-,-,-,-,1,1,2,2,1,-,-,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-,-
Seattle/Cougar;SEC,,High,441.2875,446.2875,1,-,-,2,1,-,-,2,-,1,-,1,1,2,2,2,1,-,-,-,-,1,2,-,-,-,2,1,2,2,-,2,-,1,1,2,2,1,1,2,-,2,-,2,2,2,2,2,2,2,2,-,-,-,-,2,-,-,2,2,-,1,2,2,2,-
Seattle/Metro;SEM,,High,441.325,446.325,1,-,-,2,1,-,-,2,-,1,-,1,1,-,-,2,1,-,-,-,-,1,2,-,-,-,-,-,2,2,-,2,-,1,1,2,2,1,1,2,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2,-
Seattle/South;SES,,High,440.925,445.925,1,-,-,2,-,-,-,2,-,1,-,1,1,-,-,2,1,-,-,-,-,1,2,-,-,-,-,-,2,2,-,2,-,1,1,2,2,1,1,2,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2,-
Seattle/Tiger;SET,,High,442.025,447.025,1,-,-,2,1,-,-,2,-,-,-,1,-,-,-,-,1,-,-,-,-,1,2,-,-,-,-,-,-,2,-,-,-,1,1,2,2,1,1,2,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,2,2,2,-
SeaPac/PNW Demo;SPC,,High,444.15,449.15,1,-,-,2,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,1,2,-,-,-,-,-,2,-,-,-,-,1,1,2,2,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,-,-,-
Sequim/DryHill;SED,,High,146.4875,147.4875,1,-,-,2,1,-,-,2,-,1,-,1,1,-,-,2,1,-,-,-,-,1,2,-,-,-,-,-,2,2,-,2,-,1,1,2,2,1,1,2,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2,-
Sequim/Blyn Mtn;SEQ,,High,440.4875,445.4875,1,-,-,2,1,-,-,2,-,1,-,1,1,-,-,2,1,-,-,-,-,1,2,-,-,-,-,-,2,2,-,2,-,1,1,2,2,1,1,2,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2,-
Shelton/Shelton;SHL,,High,444.2375,449.2375,1,-,-,2,1,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,-,-,-,-,2,-,2,-,1,1,2,2,1,1,2,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-,-
Snoq/Rattlesnake;SNV,,High,147.02,147.62,1,-,-,2,1,-,-,2,-,-,-,1,1,-,-,-,1,-,-,-,-,1,2,-,-,-,-,-,-,2,-,-,-,1,1,2,2,1,1,2,-,-,-,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-,-
